"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Prediction of COVID-19 by analysis of Breathing Patterns using the Concepts of Machine Learning and Deep Learning Techniques","N. Prathap; A. Suresh; P. G; T. C. Manjunath","Dept of ECE, Dayananda Sagar College of Engineering, Bangalore, Karnataka; Dept of ECE, Dayananda Sagar University (DSU), Bangalore, Karnataka; ECE Dept., Dayananda Sagar College of Engineering, Bangalore, Karnataka; ECE Dept., Dayananda Sagar College of Engineering, Bangalore, Karnataka","2022 2nd International Conference on Intelligent Technologies (CONIT)","18 Aug 2022","2022","","","1","7","The corona virus, otherwise known as the ‘Covid-19’ is a pandemic that struck the world in December of 2019 and continues on till this day as of writing this research article. It's a virus that targets & affects an individual's immune system. Its most common symptoms include fever, dry cough & tiredness. The most commonly used method used to detect the presence of the COVID-10 virus is the Reverse Transcription Polymerase Chain Reaction Test also known as the RT-PCR test. It is an invasive biomedical procedure that utilizes a nasal swab for the sample collection and provides results in about 24 hours after testing. The research work presented in this paper makes use of parameters such as the breathing patterns, smoking and drinking habits, etc. to detect the likelihood of an individual being proned to the Covid-19 virus. This is achieved by making use of a data set which will be used to train the various machine learning and deep learning algorithms.","","978-1-6654-8407-7","10.1109/CONIT55038.2022.9847821","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9847821","Corona;Covid;RTPCR;Swab;Test;Algorithm;AI;ML;DL;Cough;Tiredness","COVID-19;Deep learning;Machine learning algorithms;Pandemics;Pulmonary diseases;Writing;Predictive models","biochemistry;biomedical measurement;deep learning (artificial intelligence);diseases;epidemics;medical diagnostic computing;microorganisms;molecular biophysics;patient diagnosis;pneumodynamics","breathing patterns;machine learning;deep learning;corona virus;immune system;dry cough;reverse transcription polymerase chain reaction test;RT-PCR test;Covid-19 virus;tiredness;drinking habits","","","","22","IEEE","18 Aug 2022","","","IEEE","IEEE Conferences"
"Deep-learning Based Approach to Identify Covid-19","K. Feng; F. He; J. Steinmann; I. Demirkiran","Embry-Riddle Aeronautical University,Department of Electrical Engineering and Computer Science,Daytona Beach,FL,USA; Embry-Riddle Aeronautical University,Department of Electrical Engineering and Computer Science,Daytona Beach,FL,USA; Embry-Riddle Aeronautical University,Department of Electrical Engineering and Computer Science,Daytona Beach,FL,USA; Embry-Riddle Aeronautical University,Department of Electrical Engineering and Computer Science,Daytona Beach,FL,USA","SoutheastCon 2021","21 Apr 2021","2021","","","1","4","COVID-19 is a large-scale contagious respiratory disease that has spread across the world in 2020. Therefore, a low-cost, fast, and easily available solution is needed to provide a COVID-19 diagnosis to curb the outbreak. According to recent studies, one of the main symptoms of COVID-19 is coughing. The goal of this research effort is to develop a method for the automatic diagnosis of COVID-19 by detecting cough during recorded conversations. The method is composed of five main modules: sound extraction, sound feature extraction, cough detection, cough classification, and COVID-19 diagnosis. The method extracts relevant features from the audio signal and then uses machine learning and deep learning models, like SVM, KNN, and RNN, to classify them, which can successfully diagnose COVID-19 from audio recordings. Our method has relatively high accuracy when dealing with completely unfamiliar cough samples. When the training set and the test set are from two different databases, it still achieves an accuracy of 81.25% (AUC of 0.79). As more data sets are collected, the model can be further developed and improved to create a machine learning solution based on cough analysis for COVID-19 detection, which may be promoted as a non-clinical self-inspection solution.","1558-058X","978-1-6654-0379-5","10.1109/SoutheastCon45413.2021.9401826","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9401826","COVID-19;Recurrent neural network;Deep Learning","COVID-19;Training;Support vector machines;Deep learning;Analytical models;Databases;Pulmonary diseases","audio recording;audio signal processing;diseases;feature extraction;medical signal processing;nearest neighbour methods;patient diagnosis;recurrent neural nets;signal classification;support vector machines","COVID-19 detection;COVID-19 diagnosis;cough detection;deep-learning based approach;COVID-19 identification;large-scale contagious respiratory disease;automatic diagnosis;sound feature extraction;cough classification;relevant feature extraction;audio signal;machine learning;SVM;KNN;RNN;audio recordings;nonclinical self-inspection solution","","4","","21","IEEE","21 Apr 2021","","","IEEE","IEEE Conferences"
"Quantum Machine Learning for Audio Classification with Applications to Healthcare","M. Esposito; G. Uehara; A. Spanias","SOLS, SenSIP Center, Arizona State University, Tempe, USA; School of ECEE, SenSIP Center, Arizona State University, Tempe, USA; School of ECEE, SenSIP Center, Arizona State University, Tempe, USA","2022 13th International Conference on Information, Intelligence, Systems & Applications (IISA)","30 Sep 2022","2022","","","1","4","Accessible rapid COVID-19 testing continues to be necessary and several studies involving deep neural network (DNN) methods for detection have been published. As part of a sponsored NSF I/UCRC project, our team explored the use of deep learning algorithms for recognizing COVID-19 related cough audio signatures. More specifically, we have worked with several DNN algorithms and cough audio databases and reported results with the VGG-13 architecture. In this paper, we report a study on the use of quantum neural networks for audio signature detection and classification. A hybrid quantum neural network (QNN) model for COVID-19 cough classification is developed. The design of the QNN simulation architecture is described and results are given with and without quantum noise. Comparative results between classical and quantum neural network methods for COVID-19 audio detection are also presented.","","978-1-6654-6390-4","10.1109/IISA56318.2022.9904377","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9904377","quantum computing;quantum machine learning;COVID-19;cough audio;spectral features;quantum noise","COVID-19;Deep learning;Training;Neural networks;Feature extraction;Classification algorithms;Quantum circuit","audio databases;audio signal processing;deep learning (artificial intelligence);diseases;epidemics;health care;quantum computing;signal classification","DNN algorithms;cough audio databases;VGG-13 architecture;audio signature detection;hybrid quantum neural network model;COVID-19 cough classification;QNN simulation architecture;quantum noise;classical network methods;COVID-19 audio detection;quantum machine learning;audio classification;healthcare;COVID-19 testing;deep neural network methods;deep learning algorithm;cough audio signatures","","3","","45","IEEE","30 Sep 2022","","","IEEE","IEEE Conferences"
"A Survey on SARS-COV-2 (COVID-19) using Machine Learning Techniques","L. W. Mary; S. A. A. Raj","Department of Computer Applications, SRM Institute of Science and Technology, Kattankulathur, Chennai, India; Department of Computer Applications, SRM Institute of Science and Technology, Kattankulathur, Chennai, India","2021 2nd International Conference on Smart Electronics and Communication (ICOSEC)","12 Nov 2021","2021","","","1612","1617","SARS-CoV-2, widely known as (COVID-19), is a deadly contagious disease globally. The new suspicious virus is spreading quickly. Several studies have found that SARS and COVID-19 have comparable patterns of an inflammatory outbreak. The Coronavirus causes a severe respiratory disease that affects lung functions, and the transmission can occur through direct, close, or indirect contact from infected secretions or droplets. The typical symptom includes fever, persistent cough, cold, shortness of breath, pneumonia, decreased sense of smell, insomnia, brain fog, and many organ dysfunctions. Antibody tests and RT-PCR tests are used to diagnose fatal diseases. This literature review examines the occurrence and pathogenicity of COVID-19 infection along with radiological images, machine learning classifiers, feature extraction methods and disease prediction algorithms, and pattern recognition. This overview also summarizes the ML and DL algorithms and tools used for analysis.","","978-1-6654-3368-6","10.1109/ICOSEC51865.2021.9591841","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9591841","COVID-19;SARS-CoV-2;Pneumonia;Medical Images;Deep Learning;Machine Learning","COVID-19;Support vector machines;Machine learning algorithms;Pulmonary diseases;Machine learning;Tools;Prediction algorithms","diseases;feature extraction;learning (artificial intelligence);lung;medical computing;microorganisms;pneumodynamics","disease prediction algorithms;SARS-CoV-2;inflammatory outbreak;severe respiratory disease;infected secretions;fatal diseases;COVID-19 infection;machine learning classifiers;contagious disease;RT-PCR tests;pneumonia","","1","","46","IEEE","12 Nov 2021","","","IEEE","IEEE Conferences"
"Symptoms Based Covid-19 Disease Diagnosis Using Machine Learning Approach","M. A. Arshed; W. Qureshi; M. U. G. Khan; M. A. Jabbar","Department of Software Engineering, University of Management and Technology (UMT), Lahore, Pakistan; Department of Computer Science, The Islamia University of Bahawalpur (IUB), Bahawalpur, Pakistan; Intelligent Criminology Research Lab (ICRL), National Center of Artificial Intelligence (NCAI), Al-Khawarizmi Institute of Computer Science (KICS), University of Engineering and Technology (UET), Lahore, Pakistan; Department of Computer Science, University of Management and Technology (UMT), Lahore, Pakistan","2021 International Conference on Innovative Computing (ICIC)","31 Jan 2022","2021","","","1","7","The catastrophic outbreak of SARS-CoV-2 or COVID-19 has taken the world to uncharted waters. Detecting such an outbreak at its early stages is crucial to minimize its spread but is very difficult as well. The pandemic situation is not yet under control as the virus tends to evolve and develop mutations. This further complicates the development of machine learning or AI models that can automatically detect the disease in the general public. However, researchers worldwide have been putting their incredible efforts into devising mechanisms that help analyze and control the pandemic situation. Many prediction models have been developed to predict COVID-19 infection risk that helps in mitigating the burden on the healthcare system. These models help the medical staff, especially when healthcare resources are limited. As a contribution to society’s well-being, this research work deploys a machine learning prediction model that predicts COVID-19 patients with COVID-19 symptoms. Key pieces of information from RT-PCR test data results by the Israeli ministry of health publicly available have been distilled, preprocessed, and then used to train our prediction model. The model is trained on eight features, out of which five are the primary clinical symptoms of this fatal virus: cough, sore throat, fever, headache, breath shortness; and the other three features are gender, test indication, and age. Machine learning models can be considered for COVID-19 testing, especially when resources are limited. We have achieved highly accurate results in COVID-19 prediction with our prediction model. The model is best suited in urgent situations where there is a limitation of testing resources.","","978-1-6654-0091-6","10.1109/ICIC53490.2021.9692986","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9692986","COVID-19 Symptoms;COVID-19 Disease Diagnosis;Machine Learning;RT-PCR Test","COVID-19;Pandemics;Computational modeling;Machine learning;Predictive models;Data models;Coronaviruses","diseases;epidemics;health care;learning (artificial intelligence);medical computing;patient diagnosis","COVID-19 disease diagnosis;machine learning;catastrophic outbreak;SARS-CoV-2;uncharted waters;pandemic situation;AI models;COVID-19 infection risk;clinical symptoms;RT-PCR test data;healthcare system","","2","","18","IEEE","31 Jan 2022","","","IEEE","IEEE Conferences"
"Face Mask Detection using Machine Learning Techniques","P. S. Reddy; M. Nandini; E. Mamatha; K. V. Reddy; A. Vishant","Department Of Computer Science and Engineering, MLR Institute Of Technology, Hyderabad, India; Department Of Computer Science and Engineering, MLR Institute Of Technology, Hyderabad, India; Department Of Computer Science and Engineering, MLR Institute Of Technology, Hyderabad, India; Department Of Computer Science and Engineering, MLR Institute Of Technology, Hyderabad, India; Department Of Computer Science and Engineering, MLR Institute Of Technology, Hyderabad, India","2021 5th International Conference on Trends in Electronics and Informatics (ICOEI)","21 Jun 2021","2021","","","1468","1472","COVID-19 pandemic has bought a lot of change in our daily routine. To protect ourselves from getting infected, we need to follow certain precautions. One such safety measures are wearing a face mask. Viruses spread from one person to other respiratory droplets. When an infected person talks, shouts, sneezes or coughs, the droplets land in the mouth or nose of other people who are nearby. So, wearing a face mask over nose and mouth acts as a barrier for preventing the transmission of respiratory droplets. But many people ignore wearing a mask in public areas. It is good to have a system to identify people without masks in public places. This system, when integrated with embedded systems ensures the public safely. Our project aims to detect the people without masks on a video by developing a machine learning algorithm which identifies the person without a face mask. Machine learning is one of the techniques of Artificial Intelligence which is used for extracting valuable knowledge from large databases[1]. We collected the training sets from Kaggle, few open-source libraries and Google consisting of faces with and without a face mask. There are around 1500 images of with and without a face mask.","","978-1-6654-1571-2","10.1109/ICOEI51242.2021.9452826","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9452826","MobileNetV2;Machine Learning;CNN;Dataset;Face Mask;Layers;Detection;learning rate","COVID-19;Training;Pandemics;Nose;Mouth;Machine learning;Real-time systems","diseases;embedded systems;learning (artificial intelligence);object detection;video signal processing","face mask detection;machine learning techniques;respiratory droplets;infected person;COVID-19 pandemic;artificial intelligence","","2","","14","IEEE","21 Jun 2021","","","IEEE","IEEE Conferences"
"Review Paper for Detection of COVID-19 from Medical Images and/ or Symptoms of Patient using Machine Learning Approaches","A. K. Siddhu; A. Kumar; S. Kundu","CCSIT, TMU; CCSIT, TMU; CCSIT, TMU","2020 9th International Conference System Modeling and Advancement in Research Trends (SMART)","4 Feb 2021","2020","","","39","44","The new type of coronavirus COVID-19 virus was first detected in Wuhan-China. A COVID-19 certified patient is characterized by fever, fatigue, and dry cough. The coronavirus (COVID-19) epidemic is spreading worldwide. In this review paper, a database of X-ray, CT-Scan images from patients with common bacterial pneumonia, confirmed Covid-19 infection, and common cases, were used to automatically detect Coronavirus infection. The purpose of the study was to evaluate the effectiveness of COVID-19 acquisition. During the COVID-19 scenario, the number of infected cases rises in huge number globally. Due to this fact, a vital decision had been taken by medical experts and infected patients to adopt various medical facilities within a reasonable amount of time.","","978-1-7281-8908-6","10.1109/SMART50582.2020.9336799","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9336799","COVID-19;X-ray;Deep learning;Artificial intelligence (AI);Healthcare;Machine learning (ML)","COVID-19;Epidemics;Databases;Lung;Feature extraction;Medical diagnostic imaging;X-ray imaging","computerised tomography;diseases;learning (artificial intelligence);medical computing;medical image processing;microorganisms;patient diagnosis","COVID-19 certified patient;Wuhan-China;coronavirus COVID-19 virus;patient using machine learning approaches;medical images;medical facilities;medical experts;infected cases;COVID-19 scenario;COVID-19 acquisition;Coronavirus infection;common cases;confirmed Covid-19 infection;common bacterial pneumonia;CT-Scan images;dry cough","","2","","40","IEEE","4 Feb 2021","","","IEEE","IEEE Conferences"
"COVID-19 Detection using Audio Spectral Features and Machine Learning","M. Esposito; S. Rao; V. Narayanaswamy; A. Spanias","School of Life Sciences, SenSIP Center Arizona State University, Tempe, AZ, USA; School of ECEE, SenSIP Center Arizona State University, Tempe, AZ, USA; School of ECEE, SenSIP Center Arizona State University, Tempe, AZ, USA; School of ECEE, SenSIP Center Arizona State University, Tempe, AZ, USA","2021 55th Asilomar Conference on Signals, Systems, and Computers","4 Mar 2022","2021","","","1146","1150","In this research and education REU project, we use audio waveform signatures of coughing to determine whether COVID-19 can be diagnosed. More specifically, we determine coughing audio spectral features and use neural network architectures to develop diagnostics for COVID-19. The non-invasive rapid and remote testing benefits of this approach relative to existing nose swab, saliva, and blood testing make this method attractive for deployment on smart phones. Challenges include distorted or low-quality audio samples, availability of reliable labeled data, confusability with other respiratory diseases, and lack of baseline (healthy) audio recordings for comparison. We have studied, compared, tuned and implemented in Python an array of convolutional neural network architectures. Results using a unique parallel machine learning architecture with a fusion unit are presented.","2576-2303","978-1-6654-5828-3","10.1109/IEEECONF53345.2021.9723323","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9723323","COVID-19;cough audio;machine learning;spectral features;neural networks;tachypnea","COVID-19;Training;Pulmonary diseases;Computer architecture;Feature extraction;Reliability;Smart phones","audio recording;audio signal processing;convolutional neural nets;diseases;epidemics;learning (artificial intelligence);medical signal processing;patient diagnosis;Python;smart phones","COVID-19 detection;machine learning;remote testing;nose swab;blood testing;baseline audio recordings;convolutional neural network architectures;audio waveform signatures;coughing audio spectral features;saliva;smart phones;respiratory diseases;Python;parallel machine learning architecture;fusion unit","","2","","43","IEEE","4 Mar 2022","","","IEEE","IEEE Conferences"
"Deep Learning with hyper-parameter tuning for COVID-19 Cough Detection","S. Rao; V. Narayanaswamy; M. Esposito; J. Thiagarajan; A. Spanias","SenSIP Center, Arizona State University, Tempe, AZ; SenSIP Center, Arizona State University, Tempe, AZ; SenSIP Center, Arizona State University, Tempe, AZ; Lawrence Livermore National Labs; SenSIP Center, Arizona State University, Tempe, AZ","2021 12th International Conference on Information, Intelligence, Systems & Applications (IISA)","8 Oct 2021","2021","","","1","5","As the COVID-19 pandemic continues, rapid non-invasive testing has become essential. Recent studies and benchmarks motivates the use of modern artificial intelligence (AI) tools that utilize audio waveform spectral features of coughing for COVID-19 diagnosis. In this paper, we describe the system we developed for COVID-19 cough detection. We utilize features directly extracted from the coughing audio and use deep learning algorithms to develop automated diagnostic tools for COVID-19. In particular, we develop a unique modification of the VGG13 deep learning architecture for audio analysis that uses log-mel spectrograms and a combination of binary cross entropy and focal losses. This unique modification enabled the model to achieve highly robust classification of the DiCOVA 2021 COVID-19 data. We also explore the use of data augmentation and an ensembling strategy to further improve the performance on the validation and the blind test datasets. Our model achieved an average validation AUROC of 82.23% and a test AUROC of 78.3% at a sensitivity of 80.49%.","","978-1-6654-0032-9","10.1109/IISA52424.2021.9555564","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9555564","COVID-19;acoustics;machine learning;respiratory diagnosis;healthcare","COVID-19;Deep learning;Sensitivity;Pipelines;Tools;Predictive models;Feature extraction","entropy;epidemics;feature extraction;learning (artificial intelligence);medical diagnostic computing;patient diagnosis;pattern classification","unique modification;VGG13 deep learning architecture;hyperparameter tuning;noninvasive testing;artificial intelligence tools;audio waveform spectral features;coughing audio;COVID19 cough detection;log mel spectrograms;binary cross entropy;focal losses;data augmentation;DiCOVA 2021 COVID19 data","","6","","41","IEEE","8 Oct 2021","","","IEEE","IEEE Conferences"
"Deep Learning Anomaly Detection methods to passively detect COVID-19 from Audio","S. N. Murthy; E. Agu","Worcester Polytechnic Institute, Worcester, MA; Worcester Polytechnic Institute, Worcester, MA","2021 IEEE International Conference on Digital Health (ICDH)","8 Nov 2021","2021","","","114","121","The world has been severely affected by COVID-19, an infectious disease caused by the SARS-Cov-2 coronavirus. COVID-19 incubates in a patient for 7 days before symptoms manifest. The identification of the presence of COVID-19 is challenging as its symptoms are similar to influenza symptoms such as cough, cold, runny nose, and chills. COVID-19 affects human speech sub-systems involved in respiration, phonation, and articulation. We propose a deep anomaly detection framework for passive, speech-based detection of COVID-related anomalies in voice samples of COVID-19 affected individuals. The low percentage of positive cases and extreme imbalance in available COVID audio datasets present a challenge to machine learning classifiers but create an opportunity to utilize anomaly detection techniques. We investigate COVID detection from audio using various types of deep anomaly detectors and convolutional autoencoders. Contrastive loss methods are also explored to force our models to learn discrepancies between COVID and non-COVID cough data representations. In contrast with prior work that controlled data collection, our work focuses on crowdsourced datasets that are true representatives of the general population. In rigorous evaluation, the variational autoencoder with the elliptic envelope as the anomaly detector analyzing Mel Filterbanks audio representations performed best with an AUC of 0.65, outperforming the state of the art.","","978-1-6654-1685-6","10.1109/ICDH52753.2021.00023","DARPA(grant numbers:FA8750-18-2-0077); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9581238","Convolutional Autoencoder;Variational Autoen-coder;Contrastive Learning;COVID-19;Anomaly detection;Cough","COVID-19;Training;Learning systems;Sociology;MIMICs;Nose;Influenza","audio signal processing;convolutional neural nets;deep learning (artificial intelligence);diseases;epidemics;feature extraction;medical signal processing;patient diagnosis;signal classification;signal representation;speech processing","deep learning anomaly detection;COVID audio datasets;COVID-19 detection;cough data representations;passive speech based detection;infectious disease;SARS-Cov-2 coronavirus;machine learning classifiers;convolutional autoencoders;contrastive loss methods;mel filterbanks audio representations","","","","38","IEEE","8 Nov 2021","","","IEEE","IEEE Conferences"
"Project Achoo: A Practical Model and Application for COVID-19 Detection From Recordings of Breath, Voice, and Cough","A. Ponomarchuk; I. Burenko; E. Malkin; I. Nazarov; V. Kokh; M. Avetisian; L. Zhukov","AI Lab, Sberbank of Russia, Moscow, Russia; AI Lab, Sberbank of Russia, Moscow, Russia; AI Lab, Sberbank of Russia, Moscow, Russia; AI Lab, Sberbank of Russia, Moscow, Russia; AI Lab, Sberbank of Russia, Moscow, Russia; AI Lab, Sberbank of Russia, Moscow, Russia; AI Lab, Sberbank of Russia, Moscow, Russia","IEEE Journal of Selected Topics in Signal Processing","20 Apr 2022","2022","16","2","175","187","The COVID-19 pandemic created significant interest and demand for infection detection and monitoring solutions. In this paper, we propose a machine learning method to quickly detect COVID-19 using audio recordings made on consumer devices. The approach combines signal processing and noise removal methods with an ensemble of fine-tuned deep learning networks and enables COVID detection on coughs. We have also developed and deployed a mobile application that uses a symptoms checker together with voice, breath, and cough signals to detect COVID-19 infection. The application showed robust performance on both openly sourced datasets and the noisy data collected during beta testing by the end users.","1941-0484","","10.1109/JSTSP.2022.3142514","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9681344","Acoustic signal processing;signal detection;biomedical informatics;public heathcare;machine learning;Big Data applications","COVID-19;Feature extraction;Acoustics;Mel frequency cepstral coefficient;Hidden Markov models;Pandemics;Task analysis","audio recording;audio signal processing;deep learning (artificial intelligence);diseases;medical signal processing;patient diagnosis","COVID-19 detection;COVID-19 pandemic;infection detection;machine learning;audio recordings;signal processing;noise removal;fine-tuned deep learning networks;mobile application;cough signals;COVID-19 infection;Achoo project;breath recordings;voice recordings;cough recordings;openly sourced datasets","","3","","58","IEEE","13 Jan 2022","","","IEEE","IEEE Journals"
"COVID-19 Diagnosis from Cough Acoustics using ConvNets and Data Augmentation","S. K. Mahanta; D. Kaushik; H. Van Truong; S. Jain; K. Guha","Electronics and Communication Engineering Department, National Institute of Technology, Silchar, India 788010; Computer Science and Engineering Department, National Institute of Technology, Silchar, India 788010; Mathematics in Computer Science, University of Science of HCMC, Ho Chi Minh City, Vietnam 700000; Independent; Electronics and Communication Engineering Department, National Institute of Technology, Silchar, India 788010","2021 First International Conference on Advances in Computing and Future Communication Technologies (ICACFCT)","27 Jul 2022","2021","","","33","38","With the periodic rise and fall of COVID-19 and countries being inflicted by its waves, an efficient, economic, and effortless diagnosis procedure for the virus has been the utmost need of the hour. Amongst the infected subjects, the asymptomatic ones need not be entirely free of symptoms caused by the virus. They might not show any observable symptoms like the symptomatic subjects, but they may differ from uninfected ones in the way they cough. These differences in the coughing sounds are minute and indiscernible to the human ear, however, these can be captured using machine learning models. In this paper, we present a deep learning approach to analyze the acoustic dataset provided in Track 1 of the DiCOVA 2021 Challenge containing cough sound recordings belonging to both COVID-19 positive and negative examples. To perform the classification we propose a ConvNet model. It achieved an AUC score percentage of 72.23 on a blind test set provided in the challenge for an unbiased evaluation of the models. Moreover, the ConvNet model incorporated with Data Augmentation further increased the AUC score percentage from 72.23 to 87.07. It also outperformed the DiCOVA 2021 Challenge’s baseline model by 23% thus, claiming the top position on the DiCOVA 2021 Challenge leaderboard. This paper proposes the use of Mel Frequency Cepstral Coefficients as the input features to the proposed model.","","978-1-6654-2076-1","10.1109/ICACFCT53978.2021.9837350","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9837350","COVID-19;Speech processing;Acoustics;Deep Learning;Healthcare;CNN;Audio Data Augmentation","COVID-19;Deep learning;Economics;Biological system modeling;Computational modeling;Medical services;Acoustics","cepstral analysis;deep learning (artificial intelligence);diseases;medical signal processing;patient diagnosis;signal classification","economic diagnosis procedure;cough sound recordings;DiCOVA 2021 Challenge leaderboard;blind test set;AUC score percentage;ConvNet model;acoustic dataset;deep learning approach;machine learning models;human ear;symptomatic subjects;observable symptoms;infected subjects;effortless diagnosis procedure;efficient diagnosis procedure;periodic rise;data augmentation;ConvNets;cough acoustics;COVID-19 diagnosis","","1","","29","IEEE","27 Jul 2022","","","IEEE","IEEE Conferences"
"Rapid COVID-19 Diagnosis Using Deep Learning of the Computerized Tomography Scans","H. Tabrizchi; A. Mosavi; A. Szabo-Gali; I. Felde; L. Nadai","Department of Computer Science, Shahid Bahonar University of Kerman, Kerman, Iran; Kalman Kando Faculty of Electrical Engineering, Obuda University, Budapest, Hungary; John von Neumann Faculty of Infromatics, Obuda University, Budapest, Hungary; John von Neumann Faculty of Infromatics, Obuda University, Budapest, Hungary; Kalman Kando Faculty of Electrical Engineering, Obuda University, Budapest, Hungary","2020 IEEE 3rd International Conference and Workshop in Óbuda on Electrical and Power Engineering (CANDO-EPE)","9 Feb 2021","2020","","","000173","000178","Several studies suggest that COVID-19 may be accompanied by symptoms such as a dry cough, muscle aches, sore throat, and mild to moderate respiratory illness. The symptoms of this disease indicate the fact that COVID-19 causes noticeable negative effects on the lungs. Therefore, considering the health status of the lungs using X-rays and CT scans of the chest can significantly help diagnose COVID-19 infection. Due to the fact that most of the methods that have been proposed to COVID-19 diagnose deal with the lengthy testing time and also might give more false positive and false negative results, this paper aims to review and implement artificial intelligence (AI) image-based diagnosis methods in order to detect coronavirus infection with zero or near to zero false positives and false negatives rates. Besides the already existing AI image-based medical diagnosis method for the other well-known disease, this study aims on finding the most accurate COVID-19 detection method among AI methods such as machine learning (ML) and artificial neural network (ANN), ensemble learning (EL) methods.","","978-1-7281-8491-3","10.1109/CANDO-EPE51100.2020.9337794","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9337794","COVID-19;image-based diagnosis;artificial intelligence;machine learning;deep learning;computerized tomography;coronavirus disease","COVID-19;Support vector machines;Computed tomography;Lung;Artificial neural networks;X-rays;Testing","computerised tomography;deep learning (artificial intelligence);diseases;epidemics;lung;medical image processing;microorganisms;neural nets;reviews","coronavirus infection;zero false positives;false negatives rates;disease;rapid COVID-19 diagnosis;deep learning;computerized tomography;dry cough;muscle aches;sore throat;respiratory illness;lungs;health status;CT scans;COVID-19 infection;artificial intelligence image-based diagnosis;AI image-based medical diagnosis;ensemble learning;artificial neural network;machine learning","","10","","22","IEEE","9 Feb 2021","","","IEEE","IEEE Conferences"
"FFT Spectrum Spread With Machine Learning (ML) Analysis of Triaxial Acceleration From Shirt Pocket and Torso for Sensing Coughs While Walking","R. Vyas; K. Doddabasappla","Department of Electrical and Software Engineering, University of Calgary, Calgary, AB, Canada; Department of Electrical and Software Engineering, University of Calgary, Calgary, AB, Canada","IEEE Sensors Letters","31 Dec 2021","2022","6","1","1","4","Early detection of respiratory distress, marked by coughing associated with pandemics such as Covid, severe acute respiratory syndrome, and influenza, has become important for early public health preparedness. Recognizing respiratory distress from data pooled from accelerometers and other sensors common in phones/wearables can be a useful tool in tracking diseases in larger populations. However, detecting low-/medium-intensity coughs, which are a precursor to influenza/Covid, are harder to detect in the presence of human activity especially walking. In this letter, we study spectrum-spread features of triaxial accelerometer signals measured from the human torso during coughs. In particular, we analyze the vestigial sideband like spurs that cough-induced motion of the torso produces alongside walking signal between 0.2 and 2 Hz and propose the use of its spectral spread square metric in discerning coughs during walking action in test subjects of different sizes. Unlike prior works on time-domain measurements or spectral summation (units: g) in multiple bands, this work uses bandwidth, i.e., spectrum-spread features of acceleration signals (units: Hz2) to detect low to medium intensity coughs from a single accelerometer worn on the chest or shirt pocket or stomach. Acceleration signals measured at these points in five test subjects of varying heights, age, and weight show its median square spectral spread increase prominently along Y (up-down) and Z axes (front-back) from between 0.016–0.0167 Hz2 to between 0.023–0.026 Hz2 with a cough-detection threshold observed at 0.02 Hz2 for all axes. Using a machine learning (ML) classification model with these spectral spread features results in cough detection accuracy of 92.5, 92.2, and 91.5% with k-nearest neighbors (kNN), and 94.3, 96.1, and 93.6% using Support Vector Machine (SVM) ML models for all three torso points especially shirt pocket where phones are commonly worn.","2475-1472","","10.1109/LSENS.2021.3133887","CMC Microsystems; Natural Sciences and Engineering Research Council of Canada; Alberta Innovates; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9645328","Sensor applications;accelerometer;cough;human activity recognition;kNN;machine learning (ML);sensor;smart phone;SVM","Accelerometers;Legged locomotion;Torso;Stomach;Sensors;Time-domain analysis;Harmonic analysis","","","","","","11","IEEE","10 Dec 2021","","","IEEE","IEEE Journals"
